name,times
com.aliyun.homeshell.permission.INSTALL_SHORTCUT,4
com.aliyun.homeshell.permission.UNINSTALL_SHORTCUT,4
@string/0x1b,4
vn.apk.store.money123.permission.C2D_MESSAGE,3
android.permission.WRITE_EXTERNAL_STORAG,3
android.permission.FORCE_STOP_PACKAGES,3
droid.permission.INSTALL_PACKAGES,2
com.motorola.dlauncher.permission.READ_SETTINGS,2
android.permission.ACCESS_FIND_LOCATION,2
android.permission.ACCESS_ALL_DOWNLOADS,2
android.permission.UPDATE_DEVICE_STATS,2
com.shenqi.duokai.permission.JPUSH_MESSAGE,2
android.permission.QUICKBOOT_POWERON,2
android.permission.ACCESS_WIFI_STATE.android.permission.READ_PHONE_STATE,2
ANDROID.PERMISSION.CALL_PHONE,2
android.intent.action.BOOT_COMPLETED,2
com.xiaochen.android.fate_it.permission.MIPUSH_RECEIVE,2
com.motorola.dlauncher.permission.WRITE_SETTINGS,2
android.hardware.sensor.accelerometer,2
android.permission.SET_DEBUG_APP,2
android.permission.INTERNETandroid.permission.INTERNETandroid.permission.READ_PHONE_STATEandroid.permission.ACCESS_NETWORK_STATEandroid.permission.ACCESS_WIFI_STATEandroid.permission.WRITE_EXTERNAL_STORAGEandroid.permission.GET_TASKScom.android.launcher.permission.INSTALL_SHORTCUTandroid.permission.CHANGE_CONFIGURATION,2
READ_PHONE_STATE,2
android.permission.ACCESS_COURSE_LOCATION,2
com.xxx.gcm.permission.C2D_MESSAGE,2
android.permission.INTERACT_ACROSS_USERS,2
com.motorola.mmsp.motoswitch.permission.WRITE_SETTINGS,1
com.alibaba.android.babylon.permission.C2D_MESSAGE,1
com.aspire.mm.permission.WRITE_SETTINGS,1
com.baiqi.weather.permission.READ_SETTINGS,1
com.sina.permission.SINA_PUSH,1
android.permission.BROADCAST_PACKAGE_INSTALL,1
com.ty.launcher.permission.READ_SETTINGS,1
com.thunderst.launcher.permission.READ_SETTINGS,1
com.baiqi.weather.permission.WRITE_SETTINGS,1
android.permission.WRITE_APP_BADGE,1
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,1
com.tencent.wifisdk.permission.disconnect,1
com.mediatek.launcherplus.permission.READ_SETTINGS,1
com.gau.go.launcherex.permission.WRITE_SETTINGS,1
jp.naver.line.android.permission.C2D_MESSAGE,1
htc.socialmanager.permission.WRITE_SOCIAL_DATABASE,1
android.permission.DELETE_CACHE_FILES,1
com.ciyun.tiantianhongbao.permission.JPUSH_MESSAGE,1
com.facebook.katana.permission.CROSS_PROCESS_BROADCAST_MANAGER,1
com.sina.weibo.permission.MIPUSH_RECEIVE,1
com.tencent.mm.plugin.permission.WRITE,1
com.twitter.android.permission.C2D_MESSAGE,1
com.kakao.talk.permission.START_CHAT,1
com.viber.voip.permission.C2D_MESSAGE,1
com.bbk.launcher2.permission.WRITE_SETTINGS,1
com.linecorp.snapmovie.permission.RECORD_MOVIE,1
com.facebook.katana.provider.ACCESS,1
com.sina.weibo.data.sp.dbsharedpreference,1
com.mozillaonline.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,1
com.tencent.mm.wear.message,1
vn.apk.store.chipheo.permission.C2D_MESSAGE,1
com.sec.android.app.twlauncher.READ_SETTINGS,1
android.permission.BROADCAST_PACKAGE_REPLACED,1
jp.gree.android.app.permission.C2D_MESSAGE,1
com.tencent.smartdevice.permission.broadcast,1
com.tencent.music.data.permission2,1
com.tencent.qqhead.permission.getheadresp,1
com.example.uacn.cn.znm.permission.MIPUSH_RECEIVE,1
com.teslacoilsw.launcher.permission.READ_SETTINGS,1
com.aspire.mm.permission.READ_SETTINGS,1
vn.apk.store.kelvintu.permission.C2D_MESSAGE,1
vn.apk.store.taiungdungfacebook.permission.C2D_MESSAGE,1
com.motorola.dock.DesktopDock.permission.WRITE_SETTINGS,1
android.permission.INSTALL_SHORTCUT,1
htc.socialmanager.permission.USE_SOCIALCOMPONENT,1
com.kakao.home.permission.SNOOZE,1
com.tencent.mm.ext.permission.READ,1
android.permission.STORAGE,1
com.facebook.home.permission.WRITE_BADGES,1
com.thunderst.launcher.permission.WRITE_SETTINGS,1
android.permission.STOP_APP_SWITCHES,1
com.skype.rover.permission.RECEIVE_ADM_MESSAGE,1
android.permission.CHANGE_CONFIGRATION,1
mobi.SyndicateApps.ICS.launcher.permission.WRITE_SETTINGS,1
com.sonyericsson.homescreen.permission.READ_SETTINGS,1
com.iodkols.onekeylockscreen.permission.MIPUSH_RECEIVE,1
com.tsf.shell.permission.READ_SETTINGS,1
com.sonyericsson.home.permission.BROADCAST_BADGE,1
com.tencent.photos.permission.DATA,1
com.sec.android.app.twlauncher.WRITE_SETTINGS,1
com.facebook.permission.prod.FB_APP_COMMUNICATION,1
com.mangguotv.mobile.www.permission.JPUSH_MESSAGE,1
com.tsf.shell.permission.WRITE_SETTINGS,1
com.afaria.client.samsung2client.permission.AFARIA_API,1
com.afaria.client.samsungclient.permission.AFARIA_API,1
com.s.launcher.permission.WRITE_SETTINGS,1
jp.naver.line.android.permission.LINE_ACCESS,1
com.mediatek.launcherplus.permission.WRITE_SETTINGS,1
android.permission.DELETE_PACKAGES,1
com.tencent.qav.permission.broadcast,1
android.permission.ACCESS_CHECKIN_PROPERTIES,1
android.permission.SEND_RESPOND_VIA_MESSAGE,1
com.xiami.xiamisdk.permission.broadcast,1
cn.nubia.launcher.permission.READ_SETTINGS,1
com.whatsapp.permission.MAPS_RECEIVE,1
com.alibaba.android.babylon.permission.MIPUSH_RECEIVE,1
com.tencent.permission.VIRUS_SCAN,1
com.twitter.android.permission.AUTH_APP,1
jp.naver.android.npush.permission.PUSH_MESSAGE,1
com.twitter.android.permission.RESTRICTED,1
com.nd.android.launcher.permission.READ_SETTINGS,1
com.kakao.talk.permission.FRIENDS_PICKER,1
android.permission.CONNECTIVITY_INTERNAL,1
vn.apk.store.featherchickens.permission.C2D_MESSAGE,1
com.tencent.mm.permission.MM_MESSAGE_01,1
vn.apk.store.renaissance01.permission.C2D_MESSAGE,1
android.permission.WRITE_APN_STORAGE,1
com.facebook.orca.provider.ACCESS,1
com.tencent.mm.plugin.permission.READ,1
android.permission.BROADCAST_PACKAGE_CHANGED,1
com.meizu.c2dm.permission.RECEIVE,1
com.sina.weibo.permission.PUSH_MSG_BROADCAST_PERMISSION,1
android.permission.MANAGE_DOCUMENTS,1
android.permission.ACCESS_NOTIFICATION_POLICY,1
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,1
com.qihoo360.home.permission.READ_SETTINGS,1
com.mx.launcher.permission.WRITE_SETTINGS,1
com.whatsapp.permission.VOIP_CALL,1
com.laiwang.android.permission.synch.data,1
com.tumblr.SERVICE_PERMISSION,1
com.teslacoilsw.launcher.permission.WRITE_SETTINGS,1
android.permission.RECORD_VIDEO,1
com.facebook.katana.permission.C2D_MESSAGE,1
com.meizu.flyme.push.permission.RECEIVE,1
com.motorola.dock.DesktopDock.permission.READ_SETTINGS,1
vn.apk.store.ngotathanh.permission.C2D_MESSAGE,1
mobi.SyndicateApps.ICS.launcher.permission.READ_SETTINGS,1
com.htc.launcher.permission.UPDATE_SHORTCUT,1
com.s.launcher.permission.READ_SETTINGS,1
com.example.gcm.permission.C2D_MESSAGE,1
ACCESS_WIFI_STATE,1
com.bbk.launcher2.permission.READ_SETTINGS,1
com.tencent.msf.permission.account.sync,1
com.sec.android.provider.badge.permission.READ,1
android.permission.MODIFY_NETWORK_ACCOUNTING,1
android.permission.USES_POLICY_FORCE_LOCK,1
com.mozillaonline.permission.ACCESS_DOWNLOAD_MANAGER,1
com.tumblr.permission.C2D_MESSAGE,1
com.twitter.android.permission.READ_DATA,1
android.permission.MOUT_UNMOUNT_FILESYSTEMS,1
com.kakao.talk.permission.ADD_FRIEND_AND_START_CHAT,1
com.motorola.mmsp.motoswitch.permission.READ_SETTINGS,1
com.tencent.mm.permission.C2D_MESSAGE,1
com.huawei.android.launcher.permission.CHANGE_BADGE,1
com.sec.android.provider.badge.permission.WRITE,1
com.whatsapp.permission.C2D_MESSAGE,1
com.kakao.talk.permission.INTERNAL,1
com.huawei.authentication.HW_ACCESS_AUTH_SERVICE,1
com.kakao.talk.permission.RECEIVE_NOTIFICATION,1
com.snapchat.android.permission.C2D_MESSAGE,1
htc.socialmanager.permission.USE_SOCIALSERVICE,1
com.twitter.android.permission.MAPS_RECEIVE,1
com.iodkols.onekeylockscreen.permission.C2D_MESSAGE,1
com.whatsapp.permission.BROADCAST,1
com.qihoo360.home.permission.WRITE_SETTINGS,1
cn.nubia.launcher.permission.WRITE_SETTINGS,1
com.apusapps.launcher.permission.WRITE_SETTINGS,1
com.iodkols.onekeylockscreen.push.permission.MESSAGE,1
android.permission.SIGNAL_PERSISTENT_PROCESSES,1
com.facebook.katana.permission.RECEIVE_ADM_MESSAGE,1
android.permission.BROADCAST_PACKAGE_ADDED,1
com.facebook.pages.app.provider.ACCESS,1
com.facebook.receiver.permission.ACCESS,1
android.permission.CALL_PRIVILEGED,1
com.xiu8.android.activity.permission.JPUSH_MESSAGE,1
com.tencent.mm.ext.permission.WRITE,1
com.nd.android.launcher.permission.WRITE_SETTINGS,1
